epoch,acc,loss,val_acc,val_loss
0,0.76171875,0.5744532260298729,0.771875,0.5259088826179504
1,0.78515625,0.46791282057762146,0.793125,0.4367207205295563
2,0.793125,0.43347391426563264,0.808125,0.41679914355278014
3,0.78859375,0.41381524085998533,0.79875,0.3971938598155975
4,0.785,0.39135628134012224,0.788125,0.374107266664505
5,0.79671875,0.37038404375314715,0.818125,0.34196026504039767
6,0.84375,0.3468716372549534,0.855625,0.30907799780368805
7,0.87203125,0.31057141706347463,0.891875,0.26193978190422057
8,0.88515625,0.27579630330204963,0.900625,0.2408483350276947
9,0.8940625,0.2616604644060135,0.906875,0.23402337968349457
10,0.8953125,0.2577978999912739,0.908125,0.233606895506382
11,0.89375,0.26149504967033865,0.9025,0.23289139628410338
12,0.8946875,0.25780855894088744,0.9075,0.2291873201727867
13,0.89859375,0.25194657273590565,0.905625,0.2347109657526016
14,0.90265625,0.25118784613907336,0.910625,0.22747235417366027
15,0.905625,0.24692656621336936,0.91375,0.22534592658281327
16,0.9015625,0.2494018266350031,0.89625,0.2449199566245079
17,0.90046875,0.24938404150307178,0.91375,0.22648169934749604
18,0.9053125,0.2477426340430975,0.908125,0.23527760833501815
19,0.90546875,0.2463307712227106,0.9125,0.2217998304963112
20,0.90765625,0.24241200223565101,0.9125,0.23041625320911407
21,0.9090625,0.240845155864954,0.916875,0.2203059059381485
22,0.903125,0.24559951581060888,0.890625,0.2769229751825333
23,0.90078125,0.24813642911612988,0.91125,0.225048291683197
24,0.90640625,0.2421697749197483,0.910625,0.22403517454862595
25,0.906875,0.2414601930975914,0.91875,0.22304212510585786
26,0.90625,0.24243529230356217,0.908125,0.22382127553224562
27,0.9046875,0.24356214739382268,0.915625,0.21488315850496292
28,0.90703125,0.24049822464585305,0.914375,0.21832807034254073
29,0.90609375,0.24005021274089813,0.91625,0.2163476365804672
30,0.90359375,0.24315060913562775,0.920625,0.21376991599798204
31,0.91125,0.2339654453843832,0.92,0.21247425884008408
32,0.90546875,0.2377414744347334,0.89125,0.23369734346866608
33,0.90703125,0.23594509951770307,0.915,0.21199690997600557
34,0.91171875,0.23268097758293152,0.919375,0.2069660171866417
35,0.909375,0.23085295028984545,0.90625,0.2343675673007965
36,0.90734375,0.23153537541627883,0.92375,0.20563312083482743
37,0.9103125,0.22943200066685676,0.926875,0.2068784713745117
38,0.913125,0.22896953128278255,0.920625,0.20591162621974946
39,0.9140625,0.22782820895314215,0.913125,0.21025385975837707
40,0.91234375,0.22519226424396038,0.924375,0.20513983070850372
41,0.91140625,0.22838909313082695,0.911875,0.2111303147673607
42,0.91484375,0.22401323817670346,0.920625,0.20274676859378815
43,0.91484375,0.22365366168320178,0.9175,0.20349637448787689
44,0.91359375,0.2242405742406845,0.919375,0.20175015300512314
45,0.9171875,0.21876830093562602,0.92375,0.19682174265384675
